CHOST ,-09,Choibalsan,+08:00,"Beijing, Chongqing, Hong Kong, Urumqi",,,
CHST ,+10,"Saipan, Guam",+10:00,"Guam, Port Moresby",,,
CHUT ,+10,"Truk, Yap, Chuuk",+10:00,Brisbane,,,
CIT ,+08,Ujung_Pandang,+08:00,"Irkutsk, Ulaan Bataar",,,
CKT ,-10,Rarotonga,-10:00,Hawaii,,,
CLST ,-03,"Punta_Arenas, Santiago,Continental,  Palmer",-04:00,Santiago,,,
CLT ,-04,Punta_Arenas, Santiago,Continental,  Palmer",-04:00,Santiago,,,
COST ,-04,Bogota,-05:00,"Bogota, Lima, Quito",,,
COT ,-05,Bogota,-05:00,"Bogota, Lima, Quito",,,
CST ,-06,General,-06:00,"Guadalajara, Mexico City, Monterrey",,,
CST ,+08,"Chongqing, Chungking, Harbin, Kashgar, Macao, Macau, Shanghai, ROC,PRC, Urumqi, Taipei",+08:00,"Beijing, Chongqing, Hong Kong, Urumqi",,,
CVT ,-01,Cape_Verde,-01:00,Cape Verde Is.,,,
CXT ,+07,Christmas,+07:00,"Bangkok, Hanoi, Jakarta",,,
DAVT ,+07,Davis,+07:00,"Bangkok, Hanoi, Jakarta",,,
DDUT ,+10,Dumont DUrville,+10:00,Brisbane,,,
EASST ,-05,Easter Island,-05:00,Eastern Time,,,
EAST ,-04,Easter Island,-05:00,Eastern Time,,,
EAT ,+03,"Asmara,  Asmera, Mogadishu, Addis_Ababa, Dar_es_Salaam, Juba, Djibouti, Kampala, Nairobi, Antananarivo, Comoro, Mayotte",+03:00,Nairobi,,,
ECT ,-05,"Guayaquil, Galapagos",-05:00,"Bogota, Lima, Quito",,,
EDT ,-04,"Atikokan, Cancun,  Cayman, Coral_Harbour, Detroit, Fort_Wayne, Grand_Turk, Indianapolis, Iqaluit, Jamaica, Panama, EST, Louisville, Montreal,  Nassau, New_York, Nipigon, Pangnirtung, Port-au-Prince, Thunder_Bay, Toronto, Marengo,  Petersburg, Vevay, Vincennes, Winamac,  Monticello, Gambier, Eastern, East-Indiana, Michigan, Norfolk",-05:00,Eastern Time,,,
EST ,-05,"Atikokan, Cancun,  Cayman, Coral_Harbour, Detroit, Fort_Wayne, Grand_Turk, Indianapolis, Iqaluit, Jamaica, Panama, EST, Louisville, Montreal,  Nassau, New_York, Nipigon, Pangnirtung, Port-au-Prince, Thunder_Bay, Toronto, Marengo,  Petersburg, Vevay, Vincennes, Winamac,  Monticello, Gambier, Eastern, East-Indiana, Michigan, Norfolk",-05:00,Eastern Time,,,
,,,,,,
EEST ,+03,"Tripoli, Amman, Beirut, Damascus, Famagusta, Gaza, Hebron, Nicosia, Egypt, Libya, Kaliningrad, EET, Athens, Chisinau, Mariehamn, Nicosia, Tiraspol,  Zaporozhye, Uzhgorod, Kaliningrad",+02:00,"Athens, Istanbul, Minsk",,,
EEST ,+03,"Tripoli, Amman, Beirut, Damascus, Famagusta, Gaza, Hebron, Nicosia, Egypt, Libya, Kaliningrad, EET, Bucharest, Chisinau, Mariehamn, Nicosia, Tiraspol, Zaporozhye, Uzhgorod, Kaliningrad",+02:00,Bucharest,,,
EEST ,+03,"Cairo, Tripoli, Amman, Beirut, Damascus, Famagusta, Gaza, Hebron, Nicosia, Egypt, Libya, Kaliningrad, EET, Chisinau, Mariehamn, Nicosia, Tiraspol,  Zaporozhye, Uzhgorod, Kaliningrad",+02:00,Cairo,,,
EEST ,+03,"Tripoli, Amman, Beirut, Damascus, Famagusta, Gaza, Hebron, Nicosia, Egypt, Libya, Kaliningrad, EET, Chisinau, Mariehamn, Nicosia, Tiraspol, Vilnius,  Kiev, Zaporozhye, Uzhgorod, Kaliningrad, sofia, Riga, Tallinn, Kyiv,  Helsinki",+02:00,"Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",,,
EET ,+02,"Tripoli, Amman, Beirut, Damascus, Famagusta, Gaza, Hebron, Nicosia, Egypt, Libya, Kaliningrad, EET, Athens, Chisinau, Mariehamn, Nicosia, Tiraspol,  Zaporozhye, Uzhgorod, Kaliningrad",+02:00,"Athens, Istanbul, Minsk",,,
EET ,+02,"Tripoli, Amman, Beirut, Damascus, Famagusta, Gaza, Hebron, Nicosia, Egypt, Libya, Kaliningrad, EET, Bucharest, Chisinau, Mariehamn, Nicosia, Tiraspol,  Zaporozhye, Uzhgorod, Kaliningrad",+02:00,Bucharest,,,
EET ,+02,"Cairo, Tripoli, Amman, Beirut, Damascus, Famagusta, Gaza, Hebron, Nicosia, Egypt, Libya, Kaliningrad, EET, Chisinau, Mariehamn, Nicosia, Tiraspol,  Zaporozhye, Uzhgorod, Kaliningrad",+02:00,Cairo,,,
EET ,+02,"Tripoli, Amman, Beirut, Damascus, Famagusta, Gaza, Hebron, Nicosia, Egypt, Libya, Kaliningrad, EET, Chisinau, Mariehamn, Nicosia, Tiraspol, Vilnius,  Kiev, Zaporozhye, Uzhgorod, Kaliningrad, sofia, Riga, Tallinn, Kyiv, Helsinki",+02:00,"Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",,,
EGST ,00,Scoresbysund,-01:00,"Azores, Cape Verde",,,
FJT ,+12,Fiji,+12:00,"Fiji, Kamchatka, Marshal Is",,,
FKST ,-03,Stanley,-03:00,Brasilia,,,
FKT ,-04,Stanley,-03:00,Brasilia,,,
FNT ,-02,Noronha,-02:00,Mid-Atlantic,,,
GET ,+04,Tbilisi,+04:00,"Baku, Tbilisi, Yerevan",,,
GFT ,-03,Cayenne,-03:00,"Buenos Aires, Georgetown, Greenland",,,
GILT , +12,+arawa,+12:00,"Fiji, Kamchatka, Marshal Is",,,
GMT ,00,"Abidjan, Banjul, Conakry, Accra, Bissau, Dakar, Lome, Sao_Tome, Bamako, Freetown, Monrovia,Nouakchott, Timbuktu, Ouagadougou, Reykjavik, St_Helena, Troll, GMT, Iceland, Danmarkshavn, GB-Eire, Greenwich, GMT0, Belfast, Dublin, Guernsey, Isle_of_Man, Jersey, London", -00:00,Greenwich Mean Time,,,
GST ,-02,South_Georgia,-02:00,Mid-Atlantic,,,
GST ,-02,Mid-Atlantic,-02:00,Mid-Atlantic,,,
GYT ,-04,Guyana,-04:00,"Caracas, La paz",,,
HDT ,-09,Aleutian,-10:00,Hawaii,,,
HST ,-10,"Atka, Honolulu, Johnston, Hawaii, HST",-10:00,Hawaii,,,
HKT ,+08,Hongkong,+08:00,"Beijing, Chongqing, Hong Kong, Urumqi",,,
HOVST ,+08,Hovd,+07:00,"Bangkok, Hanoi, Jakarta",,,
HOVT,+07,Hovd,+07:00,"Bangkok, Hanoi, Jakarta",,,
ICT ,+07,Vientiane,+07:00,"Bangkok, Hanoi, Jakarta",,,
IDT ,+03,Tel_Aviv,+02:00,Jerusalem,,,
IOT ,+06,Chagos,+06:00,"Almaty, Novosibirsk",,,
IRKT ,+08,Irkutsk,+08:00,"Irkutsk, Ulaan Bataar",,,
IRST ,+0330,"Iran, Tehran",+03:30,Tehran,,,
IST ,+0530,"Calcutta,  Colombo, Kolkata",+05:30,"Chennai, Kolkata, Mumbai, New Delhi",,,
IST ,+02,"Israel, Tel_Aviv,Jerusalem",+02:00,Jerusalem,,,
JST ,+09,Tokyo,+09:00,"Osaka, Sapporo, Tokyo",,,
KGT ,+06,Bishkek,+06:00,"Almaty, Novosibirsk",,,
KOST ,+11,Kosrae,-11:00,"Midway Island, Samoa",,,
KRAT ,+07,"Barnaul, Krasnoyarsk, Novokuznetsk",+07:00,Krasnoyarsk,,,
KST ,+09,"ROK, Pyongyang, Seoul",+09:00,Seoul,,,
LHST ,+1030,Lord_Howe,+10:30,,,,
LINT ,+14,Kiritimati, +14:00,,,,
MAGT ,+11,Magadan,+11:00,Magadan,,,
MART ,-0930,Marquesas,-09:30,,,,
MAWT ,+05,Mawson,+05:00,Ekaterinburg,,,
MDT ,-06,"Cambridge_Bay, Chihuahua, Creston, Dawson_Creek, Denver, Edmonton,  Fort_Nelson, Hermosillo, Inuvik,  Mazatlan, Phoenix, Arizona, MST,  Mazatlan, Ojinaga, Shiprock, Yellowknife, Mountain, Navajo,BajaSur",-07:00,Mountain Time,,,
MET ,+01,+01:00,"Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",,,
MEST ,+02,+01:00,"Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",,,
MHT ,+12,"Kwajalein, Majuro",+12:00,"Fiji, Kamchatka, Marshal Is",,,
MMT ,+0630,Yangon,+06:30,Rangoon,,,
MSK ,+03,"Kirov, Minsk, Moscow, Simferopol",+03:00,"Moscow, St. Petersburg, Volgograd",,,
MST ,-07,"Cambridge_Bay, Chihuahua, Creston, Dawson_Creek, Denver, Edmonton,  Fort_Nelson, Hermosillo, Inuvik,  Mazatlan, Phoenix, Arizona, MST,  Mazatlan, Ojinaga, Shiprock, Yellowknife, Mountain, Navajo,BajaSur",-07:00,"Arizona, Mazatlan",,,
MUT ,+04,Mauritius,+04:00,"Abu Dhabi, Muscat",,,
MVT ,+05,Maldives,+05:00,Ekaterinburg,,,
MYT ,+08,"Kuala_Lumpur,  Kuching ",+08:00,"Kuala Lumpur, Singapore",,,
NCT ,+11,Noumea,-11:00,"Solomon Is, New Caledonia",,,
NOVT ,+07,Novosibirsk,+07:00,"Bangkok, Hanoi, Jakarta",,,
NPT ,+0545,"Kathmandu, Katmandu",05:45,Kathmandu,,,
NST ,-0330,"St_Johns, Newfoundland",-03:00,Newfoundland,,,
NT ,-11,Nauru,+12:00,"Fiji, Kamchatka, Marshal Is",,,
NUT ,-11,Niue,-11:00,"Midway Island, Samoa",,,
NZDT ,+13,Auckland,+12:00,"Auckland, Wellington",,,
NZST ,+12,Auckland,+12:00,"Auckland, Wellington",,,
OMST ,+06,Omsk ,+06:00,"Almaty, Novosibirsk",,,
ORAT ,+05,Oral,+05:00,Ekaterinburg,,,
PDT ,-07,"Los_Angeles, Santa_Isabel, Tijuana, Vancouver, Whitehorse, Pacific, Pacific-New, Yukon",-08:00,"Pacific Time, Tijuana",,,
PET ,-05,Lima,-05:00,"Bogota, Lima, Quito",,,
PETT ,+12,Kamchatka,+12:00,"Fiji, Kamchatka, Marshall Is.",,,
PGT ,+10,Port_Moresby,+10:00,"Guam, Port Moresby",,,
PHOT ,Enderbury,+13:00,,,,
PKT ,+05,Karachi,+05:00,"Islamabad, Karachi, Tashkent",,,
PMDT ,-02,Miquelon,-02:00,Mid-Atlantic,,,
PONT ,+11,"Pohnpei, Ponape",+11:00,"Magadan, Solomon Is, New Caledonia",,,
PST ,-08,Pitcairn,-08:00,"Pacific Time, Tijuana",,,
PST ,-08,"Dawson,  Ensenada, Los_Angeles, Santa_Isabel, Tijuana, Vancouver, Whitehorse, Pacific, Pacific-New, Yukon,BajaNorte",-08:00,"Pacific Time, Tijuana",,,
PST ,-08,Manila,+08:00,"Beijing, Chongqing, Hong Kong, Urumqi",,,
PT,-07,Palau, +09:00,"Osaka, Sapporo, Tokyo, Seoul, Yakutsk",,,
PYST ,-03,Asuncion,-03:00,Brasilia,,,
QYZT, +06,Qyzylorda, Atyrau",+05:00,Ekaterinburg,,,
RET ,+04,Reunion,+04:00,"Abu Dhabi, Muscat",,,
SAKT ,+11,Sakhalin,+11:00,Magadan,,,
SAMT ,+04,"Astrakhan, Samara, Ulyanovsk",+04:00,"Abu Dhabi, Muscat",,,
SAST ,+02," Mbabane, Johannesburg, Maseru",+02:00,"Harare, Pretoria",,,
SBT ,+11,Guadalcanal,+11:00,"Magadan, Solomon Is, New Caledonia",,,
SCT ,+04,Mahe,+04:00,"Abu Dhabi, Muscat",,,
SGT ,+08,Singapore,+08:00,"Kuala Lumpur, Singapore",,,
SRET ,+11, Srednekolymsk,+11:00,Magadan,,,
SRT ,-03,Paramaribo,-03:00,"Greenland, Buenos Aires, Georgetown",,,
SST ,-11,"Pago_Pago, Midway, Samoa",-11:00,"Midway Island, Samoa",,,
ST,+04,Saratov,+04:00,"Abu Dhabi, Muscat",,,
SYOT ,+03,Syowa,+03:00,Baghdad,,,
TAHT ,-10,Tahiti,-10:00,Hawaii,,,
TFT ,+05,Kerguelen,+05:00,Ekaterinburg,,,
TJT ,+05,Dushanbe,+05:00,Ekaterinburg,,,
TKT ,+13,Fakaofo,+13:00,,,,
TLT ,+09,Dili,+09:00,"Osaka, Sapporo, Tokyo",,,
TMT ,+05,"Ashgabat, Ashkhabad",+05:00,Ekaterinburg,,,
TOT ,+13,Tongatapu,+13:00,,,,
TVT ,+12,Funafuti,+12:00,"Fiji, Kamchatka, Marshal Is",,,
ULAT ,+08,"Ulan_Bator, Ulaanbaatar",+08:00,"Irkutsk, Ulaan Bataar",,,
UTC ,00, "UTC, Zulu",-00:00,"Casablanca, Monrovia",,,
UYT ,-03,Montevideo,-03:00,Brasilia,,,
UZT ,+05,"Tashkent, Samarkand",+05:00,"Islamabad, Tashkent, Karachi",,,
VET ,-04,Caracas,-04:00,"Caracas, La Paz",,,
VLAT ,+10,"Vladivostok, Ust-Nera",+10:00,Vladivostok,,,
VOLT ,+04,Volgograd,+04:00,"Abu Dhabi, Muscat",,,
VOST ,+06,Vostok,+06:00,"Almaty, Novosibirsk",,,
VUT , +11,Efate,+11:00,"Magadan, Solomon Is, New Caledonia",,,
WAKT ,+12,Wake,+12:00,"Fiji, Kamchatka, Marshal Is",,,
WEST ,+01,"Canary, Faeroe",-00:00,"Greenwich Mean Time: Dublin, Edinburgh, Lisbon, London",,,
WET ,00,"Canary, Faeroe, Madeira",-00:00,"Greenwich Mean Time: Dublin, Edinburgh, Lisbon, London",,,
WEST ,00, -00:00,"Greenwich Mean Time: dublin, Edinburgh, Lisbon, London",,,
WET ,00,"Portugal, Lisbon ",-00:00,"Greenwich Mean Time: dublin, Edinburgh, Lisbon, London",,,
WFT,+12,Wallis,+12:00,"Fiji, Kamchatka, Marshal Is",,,
WIB,+07,"Jakarta, Pontianak",+07:00,"Bangkok, Hanoi, Jakarta",,,
WITA,+08,Makassar,+08:00,"Beijing, Chongqing, Hong Kong, Urumqi",,,
WIT ,+09,Jayapura,+09:00,"Osaka, Sapporo, Tokyo",,,
YAKT ,+09,Yakutsk,+09:00,Yakutsk,,,
YEKT ,+05,Yekaterinburg,+05:00,Ekaterinburg,,,
